		IEDB metadata						LC-MS/MS information								
PBMC#5_Tubingen_120830_CB_Buffy30_W_20_Rep_2_msms2_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy30_002	Human	In vivo	Blood	PBMC	-	"A02,A03,B07,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#5_Tubingen_120830_CB_Buffy30_W_20_Rep_3_msms3_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy30_003	Human	In vivo	Blood	PBMC	-	"A02,A03,B07,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#5_Tubingen_120903_CB_Buffy30_ReRun_W_20_Rep_4_msms2_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy30_004	Human	In vivo	Blood	PBMC	-	"A02,A03,B07,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#5_Tubingen_120903_CB_Buffy30_ReRun_W_20_Rep_5_msms3_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy30_005	Human	In vivo	Blood	PBMC	-	"A02,A03,B07,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#6_Tubingen_120903_CB_Buffy32_W_20_Rep_1_msms4_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy32_001	Human	In vivo	Blood	PBMC	-	"A01,A03,B07,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#6_Tubingen_120903_CB_Buffy32_W_20_Rep_2_msms5_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy32_002	Human	In vivo	Blood	PBMC	-	"A01,A03,B07,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#6_Tubingen_120903_CB_Buffy32_W_20_Rep_3_msms6_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy32_003	Human	In vivo	Blood	PBMC	-	"A01,A03,B07,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#6_Tubingen_120903_CB_Buffy32_W_20_Rep_4_msms7_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy32_004	Human	In vivo	Blood	PBMC	-	"A01,A03,B07,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#6_Tubingen_120903_CB_Buffy32_W_20_Rep_5_msms8_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy32_005	Human	In vivo	Blood	PBMC	-	"A01,A03,B07,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#7_Tubingen_120903_CB_Buffy33_W_20_Rep_1_msms10_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy33_001	Human	In vivo	Blood	PBMC	-	"A02,A24,B35,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#7_Tubingen_120903_CB_Buffy33_W_20_Rep_2_msms11_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy33_002	Human	In vivo	Blood	PBMC	-	"A02,A24,B35,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#7_Tubingen_120903_CB_Buffy33_W_20_Rep_3_msms12_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy33_003	Human	In vivo	Blood	PBMC	-	"A02,A24,B35,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#7_Tubingen_120903_CB_Buffy33_W_20_Rep_4_msms13_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy33_004	Human	In vivo	Blood	PBMC	-	"A02,A24,B35,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#7_Tubingen_120903_CB_Buffy33_W_20_Rep_5_msms14_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy33_005	Human	In vivo	Blood	PBMC	-	"A02,A24,B35,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#8_Tubingen_120914_CB_Buffy34_W_20_Rep_1_msms1_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy34_001	Human	In vivo	Blood	PBMC	-	"A02,A11,B27,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#8_Tubingen_120914_CB_Buffy34_W_20_Rep_2_msms4_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy34_002	Human	In vivo	Blood	PBMC	-	"A02,A11,B27,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#8_Tubingen_120914_CB_Buffy34_W_20_Rep_3_msms5_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy34_003	Human	In vivo	Blood	PBMC	-	"A02,A11,B27,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#8_Tubingen_120914_CB_Buffy34_W_20_Rep_4_msms6_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy34_004	Human	In vivo	Blood	PBMC	-	"A02,A11,B27,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#8_Tubingen_120914_CB_Buffy34_W_20_Rep_5_msms7_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy34_005	Human	In vivo	Blood	PBMC	-	"A02,A11,B27,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#9_Tubingen_130311_CB_Buffy48_W_20_Rep_1_msms2_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy48_001	Human	In vivo	Blood	PBMC	-	"A02,A03,B44,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#9_Tubingen_130311_CB_Buffy48_W_20_Rep_2_msms3_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy48_002	Human	In vivo	Blood	PBMC	-	"A02,A03,B44,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#9_Tubingen_130313_CB_Buffy48_W_20_Rep_3_msms3_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy48_003	Human	In vivo	Blood	PBMC	-	"A02,A03,B44,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#9_Tubingen_130313_CB_Buffy48_W_20_Rep_4_msms4_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy48_004	Human	In vivo	Blood	PBMC	-	"A02,A03,B44,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#9_Tubingen_130313_CB_Buffy48_W_20_Rep_5_msms5_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy48_005	Human	In vivo	Blood	PBMC	-	"A02,A03,B44,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#10_Tubingen_130429_SKUG_Buffy83_W_1p25ug_20_50umx15cmColumn_60min3sDynExcl_3_msms4_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy83_001	Human	In vivo	Blood	PBMC	-	"A03,A25,B44,B57"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#10_Tubingen_130430_SKUG_Buffy83_W_1p25ug_20_15cm60min3sDynExcl_4_msms27_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy83_002	Human	In vivo	Blood	PBMC	-	"A03,A25,B44,B57"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#11_Tubingen_130510_SKUG_Buffy85_W_2p00ug_20_Rep_1_msms6_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy85_001	Human	In vivo	Blood	PBMC	-	"A11,A30,B08,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#11_Tubingen_130510_SKUG_Buffy85_W_2p00ug_20_Rep_2_msms7_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy85_002	Human	In vivo	Blood	PBMC	-	"A11,A30,B08,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#11_Tubingen_130510_SKUG_Buffy85_W_2p00ug_20_Rep_3_msms8_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy85_003	Human	In vivo	Blood	PBMC	-	"A11,A30,B08,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#11_Tubingen_130510_SKUG_Buffy85_W_2p00ug_20_Rep_4_msms9_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy85_004	Human	In vivo	Blood	PBMC	-	"A11,A30,B08,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#11_Tubingen_130510_SKUG_Buffy85_W_2p00ug_20_Rep_5_msms10_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy85_005	Human	In vivo	Blood	PBMC	-	"A11,A30,B08,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#12_Tubingen_130426_SKUG_Buffy89_W_1p75ug_20_Rep_1_msms8_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy89_001	Human	In vivo	Blood	PBMC	-	"A01,A23,B08,B44"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#12_Tubingen_130426_SKUG_Buffy89_W_1p75ug_20_Rep_2_msms9_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy89_002	Human	In vivo	Blood	PBMC	-	"A01,A23,B08,B44"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#12_Tubingen_130430_SKUG_Buffy89_W_1p75ug_20_15cm60min3sDynExcl_4_msms25_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy89_003	Human	In vivo	Blood	PBMC	-	"A01,A23,B08,B44"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#13_Tubingen_130314_CB_Buffy54_W_20_Rep_1_msms7_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy54_001	Human	In vivo	Blood	PBMC	-	"A02,A11,B35"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#13_Tubingen_130314_CB_Buffy54_W_20_Rep_2_msms8_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy54_002	Human	In vivo	Blood	PBMC	-	"A02,A11,B35"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#13_Tubingen_130314_CB_Buffy54_W_20_Rep_3_msms9_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy54_003	Human	In vivo	Blood	PBMC	-	"A02,A11,B35"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#13_Tubingen_130314_CB_Buffy54_W_20_Rep_4_msms10_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy54_004	Human	In vivo	Blood	PBMC	-	"A02,A11,B35"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#13_Tubingen_130314_CB_Buffy54_W_20_Rep_5_msms11_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy54_005	Human	In vivo	Blood	PBMC	-	"A02,A11,B35"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#14_Tubingen_130513_SKUG_Buffy94_W_XpXXg_20_Rep_1_msms26_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy94_001	Human	In vivo	Blood	PBMC	-	"A02,B44,B57"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#14_Tubingen_130513_SKUG_Buffy94_W_XpXXg_20_Rep_2_msms27_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy94_002	Human	In vivo	Blood	PBMC	-	"A02,B44,B57"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#14_Tubingen_130513_SKUG_Buffy94_W_XpXXg_20_Rep_3_msms28_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy94_003	Human	In vivo	Blood	PBMC	-	"A02,B44,B57"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#14_Tubingen_130513_SKUG_Buffy94_W_XpXXg_20_Rep_4_msms29_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy94_004	Human	In vivo	Blood	PBMC	-	"A02,B44,B57"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#14_Tubingen_130513_SKUG_Buffy94_W_XpXXg_20_Rep_5_msms30_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy94_005	Human	In vivo	Blood	PBMC	-	"A02,B44,B57"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PMBC#15_Zurich_carone_J130709_001.mzXML	carone_160207_Aebersold_Switzerland_PBMC_001	Human	In vivo	Blood	PBMC	-	"A03,A26,B51,B57"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	yes	DDA	2-32% ACN	120
C1R#1_Monash_RS_20141103_B2702_IDA_c.mzXML	schittenhelmr_160207_Purcell_Australia_C1R_001	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B27,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	no	DDA	2-32% ACN	120
C1R#1_Monash_RS_20141103_B2703_IDA_c.mzXML	schittenhelmr_160207_Purcell_Australia_C1R_002	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B27,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	no	DDA	2-32% ACN	120
C1R#1_Monash_RS_20141103_B2704_IDA_c.mzXML	schittenhelmr_160207_Purcell_Australia_C1R_003	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B27,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	no	DDA	2-32% ACN	120
C1R#1_Monash_RS_20141103_B2705_IDA_c.mzXML	schittenhelmr_160207_Purcell_Australia_C1R_004	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B27,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	no	DDA	2-32% ACN	120
C1R#1_Monash_RS_20141103_B2706_IDA_c.mzXML	schittenhelmr_160207_Purcell_Australia_C1R_005	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B27,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	no	DDA	2-32% ACN	120
C1R#1_Monash_RS_20141103_B2707_IDA_c.mzXML	schittenhelmr_160207_Purcell_Australia_C1R_006	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B27,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	no	DDA	2-32% ACN	120
C1R#1_Monash_RS_20141103_B2708_IDA_c.mzXML	schittenhelmr_160207_Purcell_Australia_C1R_007	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B27,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	no	DDA	2-32% ACN	120
C1R#1_Monash_RS_20141103_B2709_IDA_c.mzXML	schittenhelmr_160207_Purcell_Australia_C1R_008	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B27,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	no	DDA	2-32% ACN	120
C1R#2_Monash_RS_20150125_B2705_IDA_1_iRT.mzXML	schittenhelmr_160207_Purcell_Australia_C1R_009	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B27,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	yes	DDA	2-32% ACN	120
C1R#2_Monash_RS_20150128_B2705_IDA_1_iRT.mzXML	schittenhelmr_160207_Purcell_Australia_C1R_010	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B27,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	yes	DDA	2-32% ACN	120
C1R#3_Madrid_B3901_iRT_rep1_c.mzXML	marcillam_160207_marcilla_Spain_C1R_001	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B39,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	yes	DDA	2-32% ACN	120
C1R#3_Madrid_B3901_iRT_rep2_c.mzXML	marcillam_160207_marcilla_Spain_C1R_002	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B39,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	yes	DDA	2-32% ACN	120
C1R#4_Madrid_B4002_iRT_rep1_c.mzXML	marcillam_160207_marcilla_Spain_C1R_003	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B40,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	yes	DDA	2-32% ACN	120
C1R#4_Madrid_B4002_iRT_rep2_c.mzXML	marcillam_160207_marcilla_Spain_C1R_004	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"B40,C07"	IP	-	-	Triple TOF 5600	nano-LC Ultra HPLC (Eksigent)	yes	DDA	2-32% ACN	120
JY-EBV#1_Tubingen_120706_AR_CoOpNO_JY_Normal_W_10%_Rep#1_msms14_c.mzXML	Kowalewskid_160207_Rammensee_Germany_JY_001	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"A02,B07,C07"	IP	-	-	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
JY-EBV#1_Tubingen_120706_AR_CoOpNO_JY_Normal_W_10%_Rep#2_msms15_c.mzXML	Kowalewskid_160207_Rammensee_Germany_JY_002	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"A02,B07,C07"	IP	-	-	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
JY-EBV#1_Tubingen_120706_AR_CoOpNO_JY_Normal_W_10%_Rep#3_msms16_c.mzXML	Kowalewskid_160207_Rammensee_Germany_JY_003	Human	In vitro	Blood	B lymphoblast; EBV transformed	suspension	"A02,B07,C07"	IP	-	-	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
